6178,EB,SECURITIES,4400,24340
6185,CANSINOBIO,27400,1176330
6186,CHINA,FEIHE,294000,1676960
6600,SCICLONE,PHARMA,177000,1997540
6606,NH,HEALTH,123500,3661150
6608,BAIRONG-W,28000,327780
6616,GLOBAL,NEW,MAT,14000,61410
6618,JD,HEALTH,550400,30862347
6639,ARRAIL,GROUP,30000,434350
6655,HUAXIN,CEMENT,36800,317389
6680,JLMAG,5800,131780
6689,HONGJIU,FRUIT,90600,1970425
6690,HAIER,SMARTHOME,375000,9132600
6699,ANGELALIGN,8400,964700
6808,SUNART,RETAIL,471500,1434365
6818,CEB,BANK,187000,448430
6821,ASYMCHEM,7800,784260
6823,HKT-SS,55000,588440
6830,HUAZHONG,IN-V,140000,338160
6837,HAITONG,SEC,224800,1137316
6855,ASCENTAGE-B,29200,730245
6862,HAIDILAO,2541000,49980040
6865,FLAT,GLASS,123000,2602550
6869,YOFC,182000,3002540
6878,DIFFER,GP,AUTO,172000,26654
6881,CGS,1530500,6240490
6886,HTSC,73800,693072
6969,SMOORE,INTL,2173000,20157250
6978,IMMUNOTECH-B,6000,26480
6988,JOY,SPREADER,160000,167580
6993,BLUE,MOON,GROUP,42000,205710
6996,ANTENGENE-B,135000,417325
7200,FL2,CSOP,HSI,35436700,157516066
7226,XL2CSOPHSTECH,33660700,177858530
7248,XL2,CSOP,A50,8000,29414
7288,FL2,CSOP,HSCEI,3700,9406
7333,XICSOPCSI300,2700,19097
7345,FI,CSOP,OIL,67100,272064
7500,FI2,CSOP,HSI,4000100,20068693
7552,XI2CSOPHSTECH,4116500,26645355
7568,FI2CSOPNASDAQ,188900,2478247
7588,FI2,CSOP,HSCEI,46600,226552
ETF,9010,ISHARES,AXJ-U,400,2582
ETF,9115,ISHARESHSI-U,800,7336
9618,JD-SW,800250,117267375
9626,BILIBILI-W,459560,75219736
9633,NONGFU,SPRING,1127200,48034260
9658,SUPER,HI,107000,1906080
9666,JINKE,SERVICES,800,9914
9668,CBHB,67000,92870
9688,ZAI,LAB,180800,5242155
9696,TIANQI,LITHIUM,411600,21988260
9698,GDS-SW,1288300,20895404
ETF,9806,GX,CN,CONSUME-U,200,1329
ETF,9845,GX,CN,EV,BATT-U,9500,129155
9858,YOURAN,DAIRY,145000,321690
9866,NIO-SW,136810,9654732
9868,XPENG-W,1064000,41563710
9869,HELENS,106500,1279070
9878,HUITONGDA,NET,400,11660
9886,DINGDANG,HEALTH,25000,81185
9888,BIDU-SW,422000,56332490
9898,WB-SW,1400,196112
9899,CLOUD,MUSIC,2400,160810
9901,NEW,ORIENTAL-S,58200,1642820
9909,POWERLONG,CM,40500,225205
9922,JIUMAOJIU,390000,6849920
9923,YEAHKA,10400,229880
9926,AKESO,231000,10608150
9939,KINTOR,PHARMA-B,19000,113950
9955,CLOUDR,201000,2212702
9959,LINKLOGIS-W,175000,573165
9961,TRIP.COM-S,258000,72282300
9966,ALPHAMAB-B,1178000,19803080
9969,INNOCARE-B,646000,6391240
9979,GREENTOWN,MGMT,80000,624150
9987,YUM,CHINA,21300,10616495
9988,BABA-SW,6153400,570645585
9990,ARCHOSAUR,GAMES,309000,1947770
9991,BAOZUN-W,11500,150312
9992,POP,MART,334400,6420560
9995,REMEGEN-B,598500,30259100
9996,PEIJIA-B,57000,591280
9997,KANGJI,MEDICAL,9000,93310
9999,NTES-S,579300,80025460
